864	34.6812
30.8164	29.8394	6.06864
27.745	0	24.2768
31.4563	6.09302	17.3746
29.5008	33.5086	21.4917
27.745	3.46812	0
23.9416	6.85515	4.22821
27.5565	4.75702	4.35616
33.8692	32.7892	14.1104
27.9462	3.41192	12.915
27.745	3.46812	17.3406
20.2286	14.513	22.2137
28.8886	3.46436	24.0571
27.745	3.46812	27.745
0.442878	12.086	23.9829
0.652052	8.76551	30.6959
28.0711	7.90381	3.6241
17.2082	28.285	30.2539
28.0999	5.46742	10.3736
27.745	6.93624	13.8725
27.745	6.93624	17.3406
27.8564	20.7622	6.37415
27.745	6.93624	24.2768
27.8203	7.5369	27.759
27.745	6.93624	31.2131
1.16055	4.41218	2.2013
30.3735	14.9127	2.1729
26.0699	14.172	10.9231
34.3941	10.216	11.9651
30.4978	4.76934	5.69581
2.57291	17.5225	10.0861
27.745	10.4044	20.8087
31.3656	5.29111	13.2052
24.6	13.9997	18.2941
27.745	10.4044	31.2131
34.4603	10.3413	26.6394
27.36	21.1604	1.7834
29.0932	12.7418	6.6322
31.7326	25.4043	4.64662
27.745	13.8725	13.8725
28.3529	14.1774	17.019
26.6706	10.266	16.0448
26.9748	17.6561	30.9699
21.8433	10.3819	34.6177
27.745	13.8725	31.2131
27.745	17.3406	0
24.0993	9.01224	8.07926
31.726	30.184	18.218
27.745	17.3406	10.4044
32.1247	15.2585	5.59957
30.9985	8.02627	22.1884
30.7656	9.94206	18.5932
3.52631	20.3038	31.2925
25.3121	28.2309	32.0818
21.6625	9.9747	11.2842
27.5047	23.4384	34.0169
29.6268	21.7738	3.82804
28.6674	18.1063	4.28386
27.745	20.8087	10.4044
